1/28/2016,
12:25 PM,
Sampling Frequency:,10Hz 
Group:,TA
Extensometer:,E85191
Sample:,T0 Aluminum
Sample width [inch]:,0.494
Sample thickness [inch]:,0.119
--------,--------
,
Extensometer,Load
[Inches],[Lbs]
0,-0.2
0.00001,-0.2
0.00001,-0.2
0,0.2
0.00001,0.1
-0.00001,0.4
-0.00001,-0.1
0.00001,-1.1
-0.00001,0.1
-0.00001,0.3
-0.00002,-0.2
-0.00001,-0.4
0,0.9
-0.00001,0
0.00002,0.1
0,0.2
-0.00001,0.2
0.00001,0.9
-0.00001,0.7
-0.00001,0.3
-0.00001,-0.6
0,0.2
0,-0.8
0.00001,-0.5
0,0.7
0.00001,0.5
0.00001,-0.5
0.00001,0.3
-0.00001,0.1
0,-0.3
0,-0.2
0,0
0,-0.2
0,0.1
-0.00001,-0.8
0,-0.3
0.00001,-0.2
-0.00002,0
0,-0.5
0.00001,-1.3
0,0
-0.00001,0.7
-0.00001,0.5
-0.00002,-0.5
-0.00001,0
0.00001,0.6
-0.00001,0
0,-0.2
-0.00001,0
-0.00001,-0.1
-0.00001,0.5
-0.00002,1.4
-0.00002,-0.3
0,-0.2
-0.00002,0
-0.00001,0
0,-0.3
-0.00001,-1.1
-0.00002,-0.1
-0.00001,-0.8
0,0.3
0,-0.2
0.00001,-1
0.00001,0
0,0.5
0.00001,-0.5
0,0
0,-0.6
-0.00001,-0.5
0,-0.6
0.00001,0.6
0.00001,-0.1
-0.00001,-0.5
-0.00001,0
-0.00002,-0.3
-0.00002,0.8
-0.00002,-1.5
0,-0.3
-0.00001,-0.1
0,-0.6
0,-0.4
0,1
0.00001,0.2
0.00001,0.7
-0.00001,1.3
0.00001,1.1
-0.00002,1.7
0,1.6
-0.00001,1
0,1.5
0,3.1
0,3.2
0,3.1
0,3.1
0,3.9
0.00002,4.4
0,4.1
0.00003,5.3
0.00001,5
0.00003,5.2
0.00003,6
0.00003,5.8
0.00002,6
0.00002,6.5
0.00004,7.2
0.00005,7.7
0.00005,7
0.00004,7.8
0.00004,8.8
0.00006,7.8
0.00005,9.6
0.00005,10.2
0.00003,10.5
0.00003,10.7
0.00005,10.1
0.00002,10.5
0.00003,10.4
0.00003,10.9
0.00005,11.1
0.00006,11.3
0.00004,11.9
0.00007,11.9
0.00007,10.9
0.00008,12.5
0.00009,13.1
0.00009,13.4
0.00009,13.8
0.0001,14.2
0.00008,15.2
0.00011,14.4
0.00011,15.6
0.00011,16.5
0.00011,16
0.00012,16.4
0.00011,16.7
0.00012,18.1
0.00014,18.7
0.00015,19.3
0.00014,18.8
0.00015,19.8
0.00014,20.5
0.00015,20.3
0.00014,21.3
0.00014,21.8
0.00015,21.8
0.00016,22.9
0.00016,23.4
0.00016,24
0.00015,24.5
0.00017,26
0.00017,26.1
0.00017,26.6
0.00019,27.5
0.00018,27.9
0.0002,29.1
0.00019,27.9
0.0002,29.7
0.0002,30.7
0.0002,30.6
0.0002,31.7
0.00019,33.6
0.00021,33.2
0.00022,33.1
0.00022,34.1
0.00022,35.4
0.0002,35.6
0.00021,37
0.00023,37.5
0.00023,38
0.00022,39.4
0.00026,40.5
0.00024,41.3
0.00024,41.3
0.00026,42
0.00026,43.5
0.00025,44.4
0.00027,44.4
0.00026,45.9
0.00026,46.7
0.00027,48.3
0.00027,49.5
0.00027,49.1
0.00029,50.2
0.00029,51.4
0.0003,51.9
0.0003,52.8
0.00032,54.7
0.00032,55
0.00033,56.5
0.00032,57.8
0.00033,58.4
0.00034,58.8
0.00033,60.1
0.00034,61.6
0.00036,61.9
0.00035,62.9
0.00036,64.6
0.00036,66.5
0.00034,66.5
0.00035,67.3
0.00035,68.2
0.00038,70
0.00037,70.7
0.00037,72.7
0.00037,71.7
0.00038,74.6
0.00039,74.9
0.00039,75.7
0.0004,77.3
0.0004,78
0.00042,78.8
0.0004,80.8
0.00041,80.5
0.00041,81.8
0.00043,83.5
0.00043,84.9
0.00043,87
0.00043,87.3
0.00045,88.2
0.00044,89.5
0.00045,90.5
0.00046,92.8
0.00046,93.9
0.00045,95.1
0.00047,95.3
0.00048,97
0.00048,98.4
0.00048,98.4
0.00049,101.4
0.00049,100.7
0.00051,102.7
0.00051,105.4
0.00051,106
0.00051,107.6
0.00053,108.2
0.00052,110.8
0.00053,111.6
0.00053,112.9
0.00054,114
0.00053,115.2
0.00054,117.1
0.00053,118.6
0.00056,119.4
0.00057,120
0.00056,121.4
0.00057,122.3
0.00057,124.6
0.0006,126.3
0.00061,127
0.0006,129.2
0.0006,130.1
0.00061,131.3
0.0006,132
0.00062,134.2
0.00062,135.3
0.00063,137
0.00064,137.9
0.00064,139.1
0.00064,141
0.00065,142.6
0.00065,143.9
0.00066,145.1
0.00066,147.1
0.00067,146.9
0.00069,149.3
0.00069,149.9
0.0007,151.8
0.00069,153.3
0.00071,154.9
0.00073,156
0.00072,157.8
0.00075,158.6
0.00075,159.6
0.00073,160.9
0.00075,162.3
0.00076,162.9
0.00077,165.4
0.00078,167.1
0.00078,169.2
0.00078,170.2
0.0008,171.5
0.00082,172.4
0.00084,174.7
0.00083,174.8
0.00085,175.7
0.00088,176.9
0.00087,179.3
0.0009,180.6
0.00091,182.3
0.00091,182.6
0.00092,185.3
0.00096,186.6
0.00098,186.4
0.00098,188.4
0.001,189.8
0.00103,189.4
0.00102,191
0.00105,192.2
0.00104,194.1
0.00109,195.7
0.0011,196.8
0.0011,197.4
0.00114,197.9
0.00115,199.5
0.00119,200.6
0.0012,201.2
0.00122,203.3
0.00124,204.2
0.00126,204.9
0.00128,204.7
0.0013,207.4
0.00133,207.9
0.00136,208.4
0.00139,209.6
0.00142,211.1
0.00145,212.3
0.00146,212.9
0.0015,215
0.00152,215.7
0.00154,216.9
0.00157,217.4
0.0016,218.1
0.00164,219.5
0.00166,220.8
0.00169,220.5
0.00171,222.3
0.00175,223.5
0.00177,224.5
0.00179,225.2
0.00184,225.3
0.00186,227.1
0.00189,227.1
0.00193,228.8
0.00195,229.8
0.00198,230.8
0.00202,232.1
0.00206,232.6
0.00208,232.9
0.00212,234.3
0.00213,236
0.00216,236.6
0.00222,237.4
0.00222,238.5
0.00226,238.2
0.00228,240.1
0.00231,240.5
0.00237,241.1
0.00241,242.2
0.00243,242.8
0.00248,244
0.0025,244.7
0.00254,245.4
0.00258,246.8
0.00262,246.6
0.00266,248
0.00268,248.8
0.00274,249.1
0.00274,250.3
0.0028,251.6
0.00282,251.4
0.00286,253.2
0.00289,254.3
0.00293,253.6
0.00296,255
0.00299,255.9
0.00303,257.2
0.00306,257.3
0.0031,258.1
0.00315,258.8
0.00317,259.3
0.00321,260.9
0.00325,260.9
0.00328,261.3
0.00332,262.7
0.00336,263
0.0034,264.4
0.00344,264.8
0.00346,264.3
0.00352,265.6
0.00355,267.1
0.0036,268
0.00365,268.5
0.00366,269.8
0.00371,270.5
0.00375,271.4
0.00379,271.8
0.00383,272.2
0.00389,274.1
0.00393,274.6
0.00397,273.8
0.004,275.7
0.00406,276.1
0.00408,277.8
0.00412,277.5
0.00416,278.3
0.0042,279.3
0.00426,279.8
0.0043,280.6
0.00433,281.2
0.00438,282.2
0.00441,282.3
0.00446,283.5
0.00449,284.3
0.00455,284.3
0.00459,285.5
0.00463,285.8
0.00468,286.6
0.00472,287.9
0.00476,288
0.00482,287.8
0.00483,289.6
0.00489,290
0.00495,290.7
0.00498,291.1
0.00501,292.5
0.00506,291.8
0.00509,292.8
0.00515,293.7
0.00517,295
0.00522,296.5
0.00528,296.4
0.00531,296.6
0.00535,298
0.0054,298.1
0.00545,299.1
0.00548,299.5
0.00553,301.1
0.00557,301
0.0056,302.3
0.00567,302.3
0.0057,303.6
0.00574,303.8
0.00578,305.3
0.00586,305.7
0.00587,304.7
0.00593,306.4
0.00597,305.9
0.00602,307.7
0.00605,307.8
0.00611,308.5
0.00613,308.6
0.0062,310.5
0.00626,310.3
0.00629,311.5
0.00635,312.8
0.00638,312.4
0.00641,312.6
0.00649,314.1
0.00652,313.8
0.00657,315.6
0.00661,315.6
0.00666,316.1
0.00672,316.4
0.00678,316.7
0.00682,317.6
0.00684,319.2
0.00689,319.7
0.00695,320.3
0.00698,320.6
0.00704,321.1
0.00707,322
0.00712,321.7
0.00717,322.9
0.00722,323.6
0.00727,324.3
0.00731,325.1
0.00734,325.3
0.00741,325.9
0.00744,326.9
0.00749,327.6
0.00755,328.5
0.0076,327.7
0.00764,329.3
0.00769,329.2
0.00773,329.3
0.00779,330.6
0.00782,331.3
0.00787,331.9
0.00793,332.8
0.00798,333.5
0.00803,333.8
0.00807,334.4
0.00812,335.9
0.00816,336.2
0.00821,337.3
0.00825,336.9
0.00831,338.7
0.00837,339.1
0.00841,339.3
0.00846,339
0.00851,341.4
0.00856,341.1
0.0086,341.9
0.00866,342.1
0.00871,342.2
0.00877,343.7
0.00881,343.8
0.00886,344.7
0.00892,345
0.00896,345.8
0.00901,345.7
0.00905,346.8
0.00912,347.5
0.00916,348.2
0.00921,348.2
0.00926,348.9
0.0093,349.2
0.00935,349.4
0.00942,350.5
0.00946,351.7
0.0095,351.8
0.00955,352.3
0.00961,353.7
0.00964,352.8
0.00971,354.2
0.00976,355
0.0098,356.2
0.00985,356.4
0.00987,356.5
0.00993,357.9
0.00999,358
0.01005,358.5
0.01008,359.2
0.01013,360.2
0.01019,360.2
0.01024,361.6
0.01029,360.9
0.01034,361.6
0.01037,362.2
0.01041,363.2
0.01047,364.3
0.01053,364.4
0.01057,365.3
0.01062,364.2
0.01067,366.7
0.01073,366.3
0.01077,366.7
0.01081,367.5
0.01088,367.8
0.01092,368.9
0.01096,368.7
0.01103,369.4
0.01107,370.3
0.01113,371.2
0.01116,371.6
0.01123,372.4
0.01126,372.1
0.01133,373
0.01137,373.8
0.01141,374.5
0.01147,374.5
0.01152,375.4
0.01158,375.9
0.01163,376
0.01166,375.7
0.0117,377
0.01177,377.9
0.01182,379.1
0.01185,379.8
0.01191,379.2
0.01197,380.1
0.01201,380.8
0.01206,381.7
0.01211,382.3
0.01217,382.7
0.01222,383.2
0.01227,383.7
0.01231,384.3
0.01234,384.8
0.0124,385.2
0.01244,386.3
0.01249,385.1
0.01254,386.8
0.0126,387.1
0.01265,387.9
0.01271,388.2
0.01276,389.7
0.01281,389.8
0.01288,390.3
0.01294,391.9
0.013,393.3
0.01307,392.1
0.01313,392.9
0.0132,393.8
0.01325,394.2
0.01333,396.2
0.01339,395.7
0.01348,396.8
0.01354,397.1
0.01359,398.2
0.01367,399.4
0.01373,399.9
0.01383,399.6
0.0139,400.1
0.01396,401.3
0.01402,401.9
0.0141,402.9
0.01417,404.2
0.01426,405
0.01434,404.7
0.01442,405.5
0.0145,407
0.01459,408.4
0.01469,408.7
0.01478,408.8
0.01488,410.3
0.01496,410.4
0.01504,410.9
0.01514,412.9
0.01524,413.9
0.01533,414.3
0.01545,414.7
0.01554,415.5
0.01563,415.5
0.01573,418
0.01581,418.2
0.0159,419.5
0.01601,420.7
0.01612,421.2
0.01621,423.3
0.01631,423.5
0.0164,425
0.0165,425.7
0.0166,427.4
0.01668,428
0.01679,428.6
0.01688,429
0.01699,430.2
0.01706,431.8
0.01718,432.9
0.01728,433.4
0.01738,433.2
0.01748,434.7
0.01757,435.7
0.01767,437.1
0.01778,437.8
0.01787,438.6
0.01797,439.6
0.01808,441.2
0.01818,440.7
0.01826,441.1
0.01837,443.2
0.01846,444.2
0.01855,443.8
0.01865,444.9
0.01875,446.2
0.01884,447.1
0.01895,447.5
0.01905,449.2
0.01914,450.7
0.01924,451.6
0.01935,452.8
0.01945,453
0.01957,454.1
0.01967,455.7
0.01977,455.9
0.01987,456.5
0.01997,457.1
0.02006,457.9
0.02017,459.7
0.02026,460.3
0.02037,460.3
0.02045,462.7
0.02056,463.9
0.02065,464.2
0.02074,465.7
0.02084,465.3
0.02093,465.4
0.02105,466.4
0.02115,468.9
0.02123,467.4
0.02134,469.4
0.02145,469.9
0.02157,470.8
0.02167,471.7
0.02176,473.2
0.02187,473.6
0.02197,473.6
0.02209,475
0.02217,476.6
0.02229,476.6
0.02238,478.6
0.02249,479.1
0.02259,479.7
0.02269,480.3
0.02281,480.9
0.02291,483.4
0.02302,482.8
0.02311,484.7
0.02321,485.2
0.02333,485.8
0.02342,487.2
0.02354,487.1
0.02365,488.9
0.02375,489.1
0.02386,490.6
0.02395,491.7
0.02406,491.6
0.02415,492.6
0.02429,493.8
0.02439,494.7
0.02448,495.6
0.02458,495.9
0.02469,496
0.0248,497.7
0.02491,498
0.02504,499.3
0.02514,500
0.02524,500.2
0.02535,501.6
0.02545,502.1
0.02557,503
0.02566,505.1
0.02578,504.9
0.0259,505.8
0.02598,507.3
0.02611,508.2
0.02621,508.4
0.02631,508.8
0.02642,509.1
0.02653,510.8
0.02662,510.7
0.02674,512.2
0.02684,512.7
0.02695,514.7
0.02705,515.7
0.02718,515.6
0.02728,516.3
0.0274,515.5
0.02751,518.3
0.02761,517.9
0.02772,519.2
0.02783,519.4
0.02794,521
0.02803,520.4
0.02816,523.3
0.02827,523.4
0.02837,523.9
0.02846,523.9
0.0286,525.7
0.02871,525.9
0.02882,527.7
0.02894,526.4
0.02903,529.5
0.02915,529.6
0.02926,530.4
0.02938,532
0.02947,531.3
0.02959,532
0.02969,533.7
0.0298,533.3
0.02991,533.8
0.03002,535.4
0.03012,535.8
0.03024,536.9
0.03036,537.9
0.03047,538.7
0.03058,539.5
0.03069,539.9
0.03081,541.1
0.03093,542.3
0.03105,542
0.03116,543
0.0313,543.3
0.03142,544.7
0.03151,545.1
0.03165,545.8
0.03174,545.7
0.03186,546.5
0.03196,547.3
0.03207,547.5
0.03217,549.5
0.03227,550.2
0.03236,550.1
0.03249,551.4
0.0326,552.4
0.03269,553.5
0.03281,554.1
0.03292,553
0.03304,554.3
0.03317,555.8
0.03328,556.4
0.03341,556.7
0.03354,557.4
0.03367,557.8
0.03381,558.7
0.03394,559.9
0.03405,560.2
0.03419,561.5
0.03431,562.1
0.03442,562.4
0.03456,563.6
0.03468,564.7
0.03477,564.6
0.03487,564.8
0.03497,565.9
0.03506,566.1
0.03513,567.8
0.03522,568.1
0.03533,569
0.03542,569.8
0.03554,570.2
0.03565,572
0.03576,572.4
0.03589,573
0.03603,573.1
0.03617,572.3
0.03632,573.8
0.03645,575.3
0.03661,575.2
0.03677,576.7
0.03691,576.6
0.03709,577.1
0.03724,578.7
0.03737,578.6
0.03753,579.4
0.03765,581.5
0.03777,583.3
0.03789,583.2
0.03801,583.1
0.0381,584.3
0.03816,583.8
0.03824,584.6
0.03828,584.9
0.03836,586.5
0.03843,586.7
0.03855,586.7
0.03864,587.3
0.03872,586.6
0.03886,588.5
0.03899,590.1
0.03909,591.9
0.03922,591.8
0.03936,591.6
0.03951,591.9
0.03968,593.3
0.03984,592.4
0.04,593.9
0.04014,596.2
0.04033,595.9
0.0405,596.1
0.04068,596.4
0.04086,597.2
0.04101,598.3
0.04119,598.2
0.04136,598.6
0.04148,601.4
0.0416,602.9
0.04169,604.6
0.04177,603.4
0.04185,603.5
0.0419,604.4
0.04195,603.4
0.04203,603.5
0.04208,602.5
0.04215,604.8
0.04223,607.7
0.04234,608.4
0.04246,608.6
0.04257,609.6
0.04262,607.1
0.0427,608.6
0.04287,609.1
0.04306,607.4
0.0432,610.9
0.0433,612.4
0.04344,615.1
0.04359,613.4
0.04378,612
0.04398,611.9
0.04415,612.4
0.04434,614.6
0.0445,616
0.0447,615.6
0.04489,615.2
0.04506,617.9
0.04521,619
0.04537,618.7
0.04556,619.9
0.04576,619.4
0.0459,621.5
0.04604,623.8
0.04615,625.9
0.04623,625.8
0.04631,625.8
0.04636,625.4
0.04644,625.1
0.04651,625.3
0.04659,625.6
0.04665,623.8
0.04675,624.5
0.04679,625.1
0.04691,623.6
0.047,628.4
0.04709,630.3
0.04718,633.1
0.04722,630.7
0.04727,630.5
0.0474,630.9
0.04757,630.9
0.04772,631.3
0.04784,632.5
0.04799,636.1
0.04813,637
0.04832,634.4
0.04851,633.6
0.0487,635.6
0.04887,634.2
0.04906,636
0.04925,636.3
0.04943,637.6
0.04963,637.3
0.04985,636.9
0.05004,638.6
0.05023,640.8
0.05043,640.5
0.0506,642.1
0.05081,642.2
0.05102,641.7
0.05118,644.6
0.05134,646.7
0.05145,646.9
0.05158,647
0.0517,646.5
0.05179,647.8
0.05188,647.9
0.05196,648.8
0.052,647.8
0.05202,648.2
0.05205,648.6
0.05203,645.4
0.05207,647.9
0.05209,650.9
0.05214,653.5
0.05218,653.4
0.0522,651.6
0.05224,650.9
0.05237,650.9
0.05255,652.7
0.0527,653.3
0.05286,652.7
0.053,655.8
0.05313,657.5
0.05335,654.3
0.05357,653.5
0.05375,654.2
0.05394,654.5
0.05414,655.4
0.05434,656.4
0.05453,656.9
0.05476,657.6
0.05494,658.8
0.05515,658.2
0.05535,659.6
0.05556,660.8
0.05575,662.4
0.05597,661.8
0.05619,662
0.05641,662.7
0.05662,662.6
0.05682,663.5
0.05702,664.2
0.05722,664.9
0.05736,666
0.05747,667.1
0.05754,668.4
0.05758,668.4
0.05763,669
0.05767,669.6
0.05771,669.7
0.05774,669.8
0.05775,670.7
0.05781,671.6
0.05783,671.8
0.05787,670.9
0.0579,670.8
0.05798,670.4
0.05814,670.7
0.05831,671.3
0.05843,672.6
0.05859,671.2
0.05871,673
0.05881,675.2
0.05897,673.3
0.05913,672.8
0.05931,674.3
0.05947,675.2
0.05965,674.9
0.05983,675.7
0.06,675.8
0.06018,676.9
0.06036,677.5
0.06054,678
0.06071,678.7
0.06092,678.3
0.06111,678.6
0.0613,679.2
0.06149,681.2
0.06169,681.5
0.06191,680.5
0.06213,681.3
0.06233,682
0.06254,681.8
0.06278,681.9
0.06297,683.2
0.06318,684.4
0.0634,686
0.06363,686.7
0.06379,686.2
0.06392,687.2
0.06399,688.2
0.06401,687.5
0.06407,688.6
0.06412,688.8
0.06416,690.6
0.06422,691.6
0.06432,690.7
0.0645,688.7
0.06468,689.9
0.06479,690.1
0.06481,689.5
0.06483,689.8
0.06487,691.8
0.06488,691.8
0.06491,693.1
0.06499,692.8
0.06512,691.6
0.0653,692.4
0.06545,692.5
0.06563,693.2
0.06581,693.6
0.06599,693.8
0.06616,694.4
0.06635,695.4
0.06654,695.9
0.06673,696.3
0.06692,696.6
0.06711,696.4
0.06727,697.3
0.06749,697.9
0.06766,699.1
0.06786,699.2
0.06805,699.7
0.06824,700.6
0.06844,700.2
0.06865,699.2
0.06885,699.2
0.06905,700.8
0.06923,702
0.06944,702.9
0.06966,702.2
0.06986,702
0.07009,702.4
0.07027,703.1
0.07046,704.7
0.07061,705.3
0.07081,705.3
0.07095,704.6
0.07108,705.1
0.07119,706.1
0.07126,706.5
0.07131,705.7
0.07135,707.4
0.07138,708.8
0.07141,708.4
0.07144,708.7
0.07147,708.9
0.0715,710.2
0.07153,710.7
0.07154,710
0.07155,709.5
0.0716,712
0.07164,713.3
0.07166,714.8
0.07175,712.1
0.07189,709.7
0.07208,709.8
0.07227,709.6
0.07245,711.5
0.07264,711.5
0.07285,712.2
0.07303,711.8
0.07324,712.9
0.07343,714.1
0.07366,712.9
0.07388,714.3
0.07409,713.9
0.07431,714.5
0.0745,716.2
0.0747,716.3
0.07491,715.3
0.07513,715.7
0.07535,717
0.07557,717.3
0.0758,718.6
0.07603,720.1
0.07628,718.3
0.07655,717.2
0.07676,717.8
0.07696,718.4
0.07718,718.4
0.07738,718.8
0.0776,719.2
0.07781,719.8
0.07801,720
0.07824,720.7
0.07845,720.2
0.07866,721.2
0.07885,722.3
0.07906,722.5
0.07924,723.1
0.0793,723.5
0.07938,725
0.07943,725.6
0.07946,726
0.07947,726.7
0.07947,723.3
0.07949,724.1
0.07954,725.9
0.0796,728.1
0.07961,728.8
0.07964,729.7
0.07971,729.4
0.07976,729.9
0.07981,730.4
0.0799,728.9
0.08009,725.9
0.08027,727
0.08046,726.7
0.08066,727.4
0.08087,728.8
0.08104,728.6
0.08125,729.5
0.08146,729
0.08165,729.2
0.08187,729.3
0.08208,730.3
0.08229,731.1
0.0825,731.2
0.08273,731.3
0.08294,731.9
0.08319,732.2
0.08341,732.6
0.08363,732.7
0.08384,733
0.08408,732.7
0.08429,735.4
0.08449,737
0.0847,737.8
0.08499,734.7
0.08526,733.4
0.08547,735
0.08567,735.3
0.08589,735.4
0.08609,735.3
0.08631,735.6
0.08654,736.1
0.08674,736.5
0.08697,736.2
0.08717,737.2
0.08734,737
0.08746,737.2
0.08754,737.5
0.08761,737.9
0.08769,738.7
0.08773,739.3
0.0878,738.9
0.0879,740.2
0.088,740.4
0.08813,740.1
0.08824,740.9
0.08832,742.1
0.08837,742.2
0.08839,743.1
0.0884,743.5
0.08839,745
0.08843,745.8
0.08841,747.2
0.08843,747.3
0.08845,747.7
0.08847,748.6
0.08851,747.3
0.08856,746.6
0.0886,745.1
0.08866,742.9
0.08875,740.5
0.08886,742.9
0.08902,744
0.08921,743.1
0.08942,742
0.08963,744.1
0.08983,743.8
0.09004,744.9
0.09029,745.6
0.09049,744.1
0.09071,746
0.09095,745.4
0.09116,745.8
0.09137,746.5
0.0916,746.9
0.09183,747.4
0.09205,746.6
0.09226,747.6
0.09248,747.5
0.09272,747.3
0.09294,748.7
0.09315,749.7
0.0934,749.7
0.09365,747.6
0.09386,748.6
0.09408,750
0.0943,751.4
0.09453,752.6
0.09477,751.6
0.095,748.2
0.0952,750.4
0.09541,750.2
0.09563,750.8
0.09584,750.7
0.09603,751.4
0.09626,752
0.09649,752.5
0.09671,752.5
0.09693,751.4
0.09714,752.1
0.09737,753.2
0.09758,753.4
0.09778,754.5
0.09798,755
0.0982,755.3
0.09841,756.3
0.09861,757.3
0.09879,756.9
0.09894,758.1
0.09901,758.7
0.09909,759.1
0.09915,760.2
0.09919,761.1
0.09922,760.4
0.09922,759
0.09923,757.5
0.09925,758.4
0.09926,760.2
0.0993,761
0.09933,760.8
0.09941,761.5
0.09951,762.2
0.09965,761.1
0.09984,757.7
0.10005,757.9
0.10026,758
0.10047,759
0.10067,759.8
0.10088,759.6
0.10111,760
0.10131,759.8
0.10154,760.1
0.10176,761
0.10197,760.7
0.1022,761.8
0.10242,761.6
